,EP,EP_Predicted
0,463.26,464.9723012778511
1,444.37,445.33478367957144
2,488.56,486.85859867372676
3,446.48,447.5065552410923
4,473.9,473.3733309486022
5,443.67,444.16434624109843
6,467.35,463.17950142400286
7,478.42,478.82054600098724
8,475.98,469.4125230987241
9,477.5,473.3787703008079
10,453.02,457.7776921187356
11,453.99,456.81289233637517
12,440.29,437.76933673642486
13,451.28,444.81809111527
14,433.99,434.9135651054267
15,462.19,457.93214490296543
16,467.54,463.1208675791805
17,477.2,474.53235693735485
18,459.85,462.3037261714949
19,464.3,468.5432068606317
20,468.27,461.66887881943455
21,495.24,490.1955749346063
22,483.8,482.5523204912727
23,443.61,442.8774212071034
24,436.06,439.18035869470623
25,443.25,434.96761188035015
26,464.16,466.8401847754712
27,475.52,481.20312624507716
28,484.41,485.0943887028452
29,437.89,439.1290801008163
30,445.11,446.1510967637524
31,438.86,444.42225828904947
32,440.98,435.37134184032504
33,436.65,434.1650310318696
34,444.26,444.9782972987523
35,465.86,468.2352315579965
36,444.37,442.54036561918895
37,450.69,455.4660632329632
38,469.02,468.5495023555212
39,448.86,446.5841212989393
40,447.14,445.13388639495076
41,469.18,469.622847002916
42,482.8,479.34184051384085
43,476.7,472.96589879488226
44,474.99,476.96320331914586
45,444.22,448.59025597007104
46,461.33,463.67617719454813
47,448.06,452.1894335349812
48,474.6,470.52231488164125
49,473.05,478.2890192098596
50,432.06,433.2861470396348
51,467.41,470.293276354306
52,430.12,432.65283580458527
53,473.62,480.712900869018
54,471.81,468.5495023555212
55,442.99,445.0341182290947
56,442.77,442.84007829814936
57,491.49,485.0065982962734
58,447.46,443.79814336497697
59,446.11,438.1752154300406
60,442.44,442.771136154821
61,446.22,441.06965152464585
62,471.49,471.8833391951941
63,463.5,464.29715670001474
64,440.01,444.03869769895925
65,441.03,441.33599314039935
66,452.68,448.91461390810093
67,474.91,481.42133023512577
68,478.77,477.14211827111626
69,434.2,433.16691496236444
70,437.91,439.57987761757335
71,477.61,477.10861585805253
72,431.65,433.74262375681695
73,430.57,432.420558001913
74,481.09,477.2136483286248
75,445.56,443.429068564709
76,475.74,470.4856390678173
77,435.12,435.45380899425993
78,446.15,445.337852047334
79,436.64,433.70742728068683
80,436.69,436.4043274884669
81,468.75,471.5705176151089
82,466.6,467.14962881942694
83,465.48,466.34005444971547
84,441.34,438.45415107900817
85,441.83,444.7673488594774
86,464.7,465.230377778803
87,437.99,433.5692787147971
88,459.12,453.3488903116774
89,429.69,431.599233082536
90,459.8,452.76044768566953
91,433.63,440.9327830363215
92,442.84,444.468404073795
93,485.13,481.81246300987135
94,459.12,458.8366440992508
95,445.31,447.6183743554082
96,480.8,477.5334517052871
97,432.55,434.005612112197
98,443.86,444.8032018022909
99,449.77,449.10043774869445
100,470.71,465.98258127021955
101,452.17,446.21433434602193
102,478.29,477.85269022698725
103,428.54,431.7317085330919
104,478.27,480.9228499369337
105,439.58,439.74402651619704
106,457.32,455.52872694039564
107,475.51,472.0275609433324
108,439.66,442.02020187926854
109,471.99,469.76861993561437
110,479.81,479.44988921478046
111,434.78,435.0554237947075
112,446.58,448.1077373300325
113,437.76,442.7553182767389
114,459.36,458.8134825031467
115,462.28,463.4804006040318
116,464.33,468.5439948465004
117,444.36,448.47262081901675
118,438.64,444.5734591258755
119,470.49,468.6749573891572
120,455.13,456.0974541171859
121,450.22,437.22238461072294
122,440.43,440.81054582552974
123,482.98,485.2020943700857
124,460.44,459.32143525039703
125,444.97,448.0081469142796
126,433.94,431.92777176387006
127,439.73,434.6862692848205
128,434.48,432.7689154501783
129,442.33,446.0736749063583
130,457.67,461.907754742527
131,454.66,449.5589332387123
132,432.21,435.8574374908077
133,457.66,461.86052908112265
134,435.21,440.32667434330364
135,448.22,450.0726677405234
136,475.51,476.7167358525828
137,446.53,449.16120860164193
138,441.3,444.55866072069836
139,433.54,433.1196305848916
140,472.52,487.2364262858231
141,474.77,476.4136482400184
142,435.1,429.7315682804176
143,450.74,448.4264617069449
144,442.7,446.0822146789513
145,426.56,428.8488695085376
146,463.71,467.4728089592178
147,447.06,437.22238461072294
148,452.27,449.4507095949065
149,445.78,443.8107402597313
150,438.65,439.6512164209784
151,480.15,481.4801449487947
152,447.19,446.6150584347113
153,443.04,441.9313720035285
154,488.81,487.9314393162502
155,455.75,455.2635062555053
156,455.86,454.25912909358163
157,457.68,454.4547964989792
158,479.11,475.6604935599619
159,432.84,432.17978459996914
160,448.37,446.6150584347113
161,447.06,446.901807916205
162,443.53,449.44953983991707
163,445.21,444.3957853921807
164,441.7,435.9776542487245
165,450.93,449.3664730000214
166,451.44,451.53426817906217
167,441.29,444.8674371001713
168,458.85,462.7331801153324
169,481.46,484.8835173439191
170,467.19,470.1586302078849
171,461.54,468.0751038782035
172,439.08,440.1566309743167
173,467.22,466.7594368662367
174,468.8,464.17399097381633
175,426.93,430.54537315985755
176,474.65,476.3451627810796
177,468.97,466.646325955338
178,433.97,435.8766306967282
179,450.53,452.1270640110544
180,444.51,443.4997161425184
181,469.03,466.4971348584405
182,466.56,465.30009403118015
183,457.57,456.1360136055362
184,440.13,438.7853744580765
185,433.24,431.2970702690761
186,452.55,457.7776921187356
187,443.29,439.5617540378926
